"region","fiscal_year","category","price_tier","total_orders","refunded_orders","lost_revenue","net_revenue","gross_margin","avg_order_value"
"APAC",2023,"Beauty","1. Budget (<$50)","7137","149","4123.57","189877.81","113924.67","27.18"
"APAC",2023,"Beauty","2. Mid-Range ($50-200)","2183","61","4562.16","157559.56","94437.33","74.27"
"APAC",2023,"Beauty","3. Premium (>$200)","15","0","0.00","3988.96","2377.42","265.93"
"APAC",2023,"Electronics","1. Budget (<$50)","59","3","106.24","2243.29","529.09","39.82"
"APAC",2023,"Electronics","2. Mid-Range ($50-200)","2057","191","26731.76","257271.24","56519.73","138.07"
"APAC",2023,"Electronics","3. Premium (>$200)","6973","1041","594603.68","3469740.56","760828.66","582.87"
"APAC",2023,"Fashion","1. Budget (<$50)","3891","208","6428.12","114905.86","63186.23","31.18"
"APAC",2023,"Fashion","2. Mid-Range ($50-200)","4414","326","29509.81","378330.82","208485.60","92.40"
"APAC",2023,"Fashion","3. Premium (>$200)","393","49","13764.66","98587.98","54234.15","285.88"
"APAC",2023,"Home & Kitchen","1. Budget (<$50)","1367","28","896.42","48731.52","18520.61","36.30"
"APAC",2023,"Home & Kitchen","2. Mid-Range ($50-200)","6179","301","32103.25","635509.27","242252.90","108.05"
"APAC",2023,"Home & Kitchen","3. Premium (>$200)","1761","148","46535.65","516960.55","195803.94","319.99"
"APAC",2023,"Sports","1. Budget (<$50)","2398","50","1677.49","80627.40","33839.81","34.32"
"APAC",2023,"Sports","2. Mid-Range ($50-200)","5810","236","25862.39","557662.00","233875.92","100.43"
"APAC",2023,"Sports","3. Premium (>$200)","831","49","14418.93","224633.54","94310.10","287.67"
"APAC",2024,"Beauty","1. Budget (<$50)","13637","226","6017.52","365568.49","219283.08","27.25"
"APAC",2024,"Beauty","2. Mid-Range ($50-200)","4219","112","8859.63","310828.31","186669.54","75.77"
"APAC",2024,"Beauty","3. Premium (>$200)","25","4","863.83","5033.22","3021.36","235.88"
"APAC",2024,"Electronics","1. Budget (<$50)","96","4","157.05","3681.25","815.26","39.98"
"APAC",2024,"Electronics","2. Mid-Range ($50-200)","4005","330","45111.32","507201.17","111308.61","137.91"
